Unique ID,Geo Category,Regional Jurisdiction,Local Jurisdiction,Issuing Authority,Language,Issuance Type,Weblink,Phase,MVP Desired Source? (March 2021),Contract Alignment,Added as part of pilot work? (Y),Planned Ingestion Date,Target Ingestion Date (Month),Actual Ingestion Date,Statutes/Regulations or  Proposed/Monitoring,In SHRP Inventory?,Legal Monitoring? (Domestic),International Monitoring?,Frequency of Ingestion/Updates,"Ingestion Start Date (ideal to align w/UAT for MVP, should be prior to 3/26/2021)",Lookback on historical content (Y/N)?,Document Level View,Related Issuance Type(s),Citation Standard,Lowest level citation in inventory,Notes,Innodata,DCL,2020, 2021, 2022, 2023,Notes 2,Duplicate ID,Proprietary Sources,Source Display Name,Universal SDC Issuance Type
000779,US State,United States,Ohio,Ohio State Legislature,English,Ohio - Revised Statutes (Revised Code),http://codes.ohio.gov/orc/,3,checked,2021 Contract,,2021-06-25 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,Ohio Stat. § 1.1,,,,checked,P0,,,,,,,,STATUTORY_COMPILATION
000787,US State,United States,Oregon,Oregon State Legislature,English,Oregon - Revised Statutes,https://www.oregonlegislature.gov/bills_laws/pages/ors.aspx,2,checked,2020 Amendment 2,,2021-05-03 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,Or. Stat. § 1.1,,,checked,,P0,,,,,,,,
000788,US State,United States,Pennsylvania,Pennsylvania State Legislature,English,Pennsylvania - Revised Statutes,https://www.legis.state.pa.us/cfdocs/legis/LI/Public/cons_index.cfm,1,checked,2020 Amendment 1,,2021-03-19 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,"Pa. Stat. Tit. § 1, § 1",,,checked,,P0,,,,,,,,
000795,US State,United States,Rhode Island,Rhode Island State Legislature,English,Rhode Island - Code of Regulations,https://rules.sos.ri.gov/organizations,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,,checked,P0,,,,,,,,ADMINISTRATIVE_COMPILATION
000797,US State,United States,Rhode Island,Rhode Island State Legislature,English,Rhode Island - Revised Statutes,http://webserver.rilin.state.ri.us/Statutes/,3,checked,2021 Contract,,2021-06-25 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,R.I. Stat. § 1.1,,,,checked,P0,,,,,,,,STATUTORY_COMPILATION
000800,US State,United States,South Carolina,South Carolina State Legislature,English,South Carolina - South Carolina Code of Laws,https://www.scstatehouse.gov/code/statmast.php,1,checked,2020 Amendment 1,,2021-03-19 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,S.C. Stat. § 1.1,,,checked,,P0,,,,,,,,
000804,US State,United States,South Dakota,South Dakota State Legislature,English,South Dakota - Administrative Rules,http://sdlegislature.gov/Rules/RulesList.aspx,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,,checked,P0,,,,,,,,ADMINISTRATIVE_COMPILATION
000808,US State,United States,South Dakota,South Dakota State Legislature,English,South Dakota - Revised Statutes,http://sdlegislature.gov/statutes/Codified_Laws/,3,checked,2021 Contract,,2021-06-25 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,S.D. Stat. § 1.1,,,,checked,P0, ,,,,,,,STATUTORY_COMPILATION
000812,US State,United States,Tennessee,TennesseeState Legislature,English,Tennessee - Effective Rules and Regulations,https://sos.tn.gov/effective-rules,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,,checked,P0,,,,,,,,ADMINISTRATIVE_COMPILATION
000813,US State,United States,Tennessee,TennesseeState Legislature,English,Tennessee - Revised Statutes (Code),https://advance.lexis.com/container?config=014CJAA5ZGVhZjA3NS02MmMzLTRlZWQtOGJjNC00YzQ1MmZlNzc2YWYKAFBvZENhdGFsb2e9zYpNUjTRaIWVfyrur9ud&crid=2a0e12f6-5d17-4cb7-b8e0-52a2c312773f,2,checked,2020 Amendment 2,,2021-05-03 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,Tenn. Stat. § 1.1,,,,checked,P0,,,,,,Lexis,,STATUTORY_COMPILATION
000815,US State,United States,Texas,Texas State Legislature,English,Texas - Admin Code,https://texreg.sos.state.tx.us/public/readtac$ext.viewtac,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,,checked,P0,,,,,,,,ADMINISTRATIVE_COMPILATION
000818,US State,United States,Texas,Texas State Legislature,English,Texas - Revised Statutes,https://statutes.capitol.texas.gov/,1,checked,2020 Amendment 1,,2021-03-19 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,Tex. [Subject] Code § 1,,,,checked,P0,,,,,,,,STATUTORY_COMPILATION
000471,US Federal,United States,United States of America,Consumer Financial Protection Bureau,English,CFPB SE Manual,https://www.consumerfinance.gov/policy-compliance/guidance/supervision-examinations/,4,checked,2021 Contract,,2021-09-22 00:00,,,Statutes/Regulations,,checked,,Monthly,1/1/2021,n/a (versioned),section,,"<Part name>: <bulleted title from table of contents, which is displayed at the top right of each page>, pg. <page no. or page range>","CFPB SE Manual Examination Procedures: Prepaid Accounts, pg. 38",,,checked,P0,,,,,,,,ADMINISTRATIVE_GUIDANCE
000474,US Federal,United States,United States of America,Federal Government of the United States,English,Code of Federal Regulations,https://gov.ecfr.io/cgi-bin/,1,checked,2020 Amendment 1,,2021-03-19 00:00,,,Statutes/Regulations,checked,,,Weekly,1/1/2021,n/a (versioned),Part level,,12 C.F.R. § 9.18,12 C.F.R. § 9.18 (b)(4)(i),,,checked,P0,,,,,,,,ADMINISTRATIVE_COMPILATION
000499,US Federal,United States,United States of America,Consumer Financial Protection Bureau,English,CFPB Guidance,http://www.consumerfinance.gov/guidance/,4,checked,2021 Contract,,2021-09-22 00:00,,,Statutes/Regulations,checked,checked,,Daily,1/1/2021,N (with exceptions),whole document,,CFPB Bulletin <bulletin number>,CFPB Bulletin 2014-01,,,checked,P0,,,,,,,,ADMINISTRATIVE_GUIDANCE
000560,US Federal,United States,United States of America,Federal Reserve,English,Federal Reserve BHC Supervision Manual,https://www.federalreserve.gov/publications/supervision_bhc.htm,4,checked,2021 Contract,,2021-09-22 00:00,,,Statutes/Regulations,,checked,,Monthly,1/1/2021,n/a (versioned),Major Section,,"Federal Reserve BHC Supervision Manual Section <section, subsection or sub-subsection number>",Federal Reserve BHC Supervision Manual Section 1040.0.3.1,,,checked,P0,,,,,,,,ADMINISTRATIVE_GUIDANCE
