"id","state","statecode","county","issuance_type","leg_type","leg_subtype","leg_subsubtype","leg_date","citation_form","citation_example","fullfilename"
"48","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2019-2020","HB-193","2019-05-07","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2019-2020_HB-193/2019-05-07/US-GA-GaBills-3acc61ba-fac5-11ea-943f-06550e2e9f68.xml"
"49","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2015-2016","HB-812","2016-01-22","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-812/2016-01-22/US-GA-GaBills-104e2c12-fb74-11ea-91db-026986fb21f6.xml"
"50","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","HB-191","2001-01-18","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_HB-191/2001-01-18/US-GA-GaBills-2f098fe2-fbb4-11ea-9745-06cc42c77c8c.xml"
"51","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SB-17","2001-01-08","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SB-17/2001-01-08/US-GA-GaBills-d7a6671e-fbc1-11ea-9c88-06cc42c77c8c.xml"
"52","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SR-668","2002-02-14","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SR-668/2002-02-14/US-GA-GaBills-27ed6fab-6cae-4690-bc9e-fa6e00c147aa.xml"
"53","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HR-703","2003-04-09","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HR-703/2003-04-09/US-GA-GaBills-6301c2e0-d0e3-4657-95a5-f9e31e144194.xml"
"54","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2017-2018","SB-465","2018-02-21","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_SB-465/2018-02-21/US-GA-GaBills-d7f54004-2b65-43f0-a1b6-916338a54d13.xml"
"55","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","SB-116","2011-02-17","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_SB-116/2011-02-17/US-GA-GaBills-be678258-fba1-11ea-b2bf-066380f4e01c.xml"
"56","GEORGIA","GA","","GABILLS CCDF","GEORGIA_BILLS","SESSION-2011-2012","HB-281","2011-02-17","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-281/2011-02-17/US-GA-GaBills-a5866d27-ccdf-4be1-8847-07b2dae469ce.xml"
"57","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SB-516","2004-02-12","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-516/2004-02-12/US-GA-GaBills-8bb1549a-f552-4c96-888b-97eae48f3cd2.xml"
"58","GEORGIA","GA","","GABILLS FACC","GEORGIA_BILLS","SESSION-2017-2018","HB-689","2018-01-18","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_HB-689/2018-01-18/US-GA-GaBills-f4fd3fa8-facc-11ea-ad4a-02704a55bfc4.xml"
"59","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","SB-57","2009-01-27","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_SB-57/2009-01-27/US-GA-GaBills-409c1b2e-fb92-11ea-995c-0689acfb9e08.xml"
"60","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","SB-379","2005-12-29","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_SB-379/2005-12-29/US-GA-GaBills-510a30c8-fb7b-11ea-ba05-02704a55bfc4.xml"
"61","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-886","2012-04-19","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-886/2012-04-19/US-GA-GaBills-d0e80c18-fb72-11ea-823b-06c7300265cc.xml"
"62","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","HB-636","2009-03-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_HB-636/2009-03-03/US-GA-GaBills-51919933-f645-45c1-ac98-4fe573ec5552.xml"
"63","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","SB-513","2006-02-02","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_SB-513/2006-02-02/US-GA-GaBills-cc982d78-fb9b-11ea-bd89-02704a55bfc4.xml"
"64","GEORGIA","GA","","GABILLS FAAA","GEORGIA_BILLS","SESSION-2019-2020","HB-42","2019-01-17","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2019-2020_HB-42/2019-01-17/US-GA-GaBills-483d0006-faaa-11ea-9d75-06550e2e9f68.xml"
"65","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2019-2020","HB-212","2019-04-18","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2019-2020_HB-212/2019-04-18/US-GA-GaBills-90a801be-fac9-11ea-a32b-06550e2e9f68.xml"
"66","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SB-344","2020-01-18","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SB-344/2020-01-18/US-GA-GaBills-ea3f5ec8-4f14-4cae-b55f-fd4dfc05683d.xml"
"67","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SB-468","2004-02-02","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-468/2004-02-02/US-GA-GaBills-c22e7e54-b8fd-4f73-af1d-b08429cbced2.xml"
"68","GEORGIA","GA","","GABILLS CCCC","GEORGIA_BILLS","SESSION-2005-2006","SB-655","2006-03-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_SB-655/2006-03-03/US-GA-GaBills-b537c72a-cccc-46c9-87d7-8ec74cdf6f65.xml"
"69","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","HB-387","2009-02-10","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_HB-387/2009-02-10/US-GA-GaBills-2a1481f8-fb76-11ea-b71c-0689acfb9e08.xml"
"70","GEORGIA","GA","","GABILLS FACD","GEORGIA_BILLS","SESSION-2019-2020","SB-429","2020-07-29","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2019-2020_SB-429/2020-07-29/US-GA-GaBills-1d2ee876-facd-11ea-a5ec-02cee08e0832.xml"
